11700,19450,344.35,0.000044106,26.47,9.16
11800,19160,345.93,0.000045064,26.08,8.58
11900,18860,347.57,0.000046078,25.7,8
12000,18570,349.21,0.000047101,25.32,7.43
12100,18270,350.94,0.000048185,24.93,6.85
12200,17980,352.63,0.000049343,24.55,6.27
12300,17680,354.42,0.000050505,24.16,5.7
12400,17400,356.08,0.00005066,23.93,5.35
12500,17140,357.56,0.000049151,23.95,5.38
12600,16890,359,0.000047724,23.97,5.41
12700,16630,360.54,0.000046309,23.98,5.43
12800,16380,362.06,0.000044971,24,5.46
12900,16120,363.66,0.000043702,24.01,5.48
13000,15870,365.24,0.00004239,24.03,5.51
13100,15610,366.92,0.000041202,24.04,5.54
13200,15350,368.61,0.000039998,24.06,5.56
13300,15100,370.29,0.000038861,24.07,5.59
13400,14870,371.78,0.000037759,23.85,5.62
13500,14650,373.18,0.000036667,23.49,5.65
13600,14440,374.55,0.000035633,23.13,5.68
13700,14220,376,0.000034654,22.76,5.71
13800,14000,377.49,0.000033659,22.4,5.74
13900,13790,378.92,0.000032717,22.04,5.77
14000,13570,380.47,0.000031784,21.68,5.8
14100,13360,381.98,0.0000309,21.32,5.83
14200,13140,383.6,0.000030025,20.95,5.86
14300,12930,385.17,0.000029196,20.59,5.89
14400,12710,386.88,0.000028415,20.23,5.93
14500,12500,388.53,0.000027638,19.87,5.95
14600,12320,389.89,0.000027348,19.52,5.84
14700,12140,391.27,0.000027066,19.18,5.73
14800,11960,392.69,0.000026791,18.83,5.62
14900,11790,394.06,0.000026501,18.49,5.5
15000,11610,395.53,0.000026241,18.14,5.39
15100,11430,397.04,0.000025989,17.79,5.28
15200,11250,398.59,0.000025744,17.45,5.17
15300,11080,400.08,0.000025447,17.1,5.05
15400,10900,401.69,0.000025218,16.76,4.94
15500,10720,403.34,0.000024996,16.41,4.83
15600,10550,404.92,0.000024758,16.07,4.72
15700,10370,406.67,0.000024552,15.72,4.6
15800,10190,408.44,0.000024353,15.38,4.49
15900,10010,410.25,0.000024162,15.03,4.38
16000,9870,412.2,0.000025613,15.46,4.43
16100,9730,414.17,0.000027152,15.89,4.48
16200,9590,416.18,0.000028785,16.32,4.53
16300,9450,418.23,0.000030518,16.75,4.58
16400,9310,420.31,0.000032358,17.18,4.63
16500,9170,422.43,0.000034312,17.61,4.68
16600,9030,424.59,0.000036387,18.04,4.73
16700,8890,426.79,0.000038592,18.47,4.78
16800,8750,429.03,0.000040934,18.9,4.83
16900,8610,431.31,0.000043423,19.33,4.88
17000,8470,433.64,0.00004607,19.76,4.93
17100,8330,436.02,0.000048884,20.19,4.98
17200,8190,438.44,0.000051877,20.62,5.03
17300,8050,440.91,0.000055062,21.05,5.08
17400,7910,443.43,0.000058453,21.48,5.13
17500,7770,446.01,0.000062063,21.91,5.18
17600,7630,448.65,0.000065908,22.34,5.23
17700,7490,451.34,0.000070005,22.77,5.28
17800,7350,454.1,0.000074373,23.2,5.33
17900,7210,456.92,0.000079032,23.63,5.38
18000,7070,459.8,0.000084002,24.06,5.43
18100,6930,462.76,0.000089308,24.49,5.48
18200,6790,465.79,0.000094976,24.92,5.53
18300,6650,468.89,0.00010103,25.35,5.58
18400,6510,472.08,0.00010751,25.78,5.63
18500,6370,475.35,0.00011444,26.21,5.68
18600,6230,478.7,0.00012186,26.64,5.73
18700,6090,482.16,0.00012981,27.07,5.78
18800,5950,485.7,0.00013833,27.5,5.83
18900,5810,489.36,0.00014747,27.93,5.88
19000,5670,493.12,0.00015729,28.36,5.93
19100,5530,497,0.00016784,28.79,5.98
19200,5390,500.99,0.0001792,29.22,6.03
19300,5250,505.12,0.00019143,29.65,6.08
19400,5110,509.39,0.00020461,30.08,6.13
19500,4970,513.8,0.00021883,30.51,6.18
19600,4830,518.36,0.00023421,30.94,6.23
19700,4690,523.1,0.00025084,31.37,6.28
19800,4550,528.01,0.00026885,31.8,6.33
19900,4410,533.11,0.0002884,32.23,6.38
20000,4270,538.41,0.00030965,32.66,6.43
