10393;1970;12;270.047;263.264;247.221;235.424;222.344;217.912;217.162;217.906;215.662
10393;1971;1;272.206;264.053;247.331;235.181;221.312;215.464;213.795;216.18;215.413
10393;1971;2;268.896;261.92;246.148;234.432;220.93;216.48;216.143;218.823;217.09
10393;1971;3;267.409;260.202;244.142;232.554;219.603;215.537;218.273;218.806;216.321
10393;1971;4;273.601;265.67;249.328;236.991;222.437;217.21;217.619;218.863;217.123
10393;1971;5;279.612;270.515;254.19;241.69;225.515;217.631;216.895;219.562;218.143
10393;1971;6;279.464;269.891;254.536;242.436;226.643;220.721;223.084;223.627;221.792
10393;1971;7;282.259;273.992;258.41;246.907;231.46;223.118;221.573;220.994;219.519
10393;1971;8;284.123;275.255;259.301;247.211;231.91;223.235;218.237;218.349;218.519
10393;1971;9;277.016;269.994;254.527;242.877;228.073;221.072;218.086;218.81;218.654
10393;1971;10;276.774;269.942;255.34;243.428;228.353;219.637;213.365;212.137;212.176
10393;1971;11;271.432;264.902;249.943;238.377;223.417;216.695;214.573;214.391;213.22
10393;1971;12;271.948;265.264;249.59;238.031;223.69;216.608;213.35;213.896;212.185
10393;1972;1;268.035;262.119;245.852;234.289;221.03;216.022;216.287;218.454;216.908
10393;1972;2;272.114;264.686;247.943;235.764;221.131;215.478;216.621;219.507;217.584
10393;1972;3;272.603;264.152;246.676;234.566;220.652;215.969;217.033;218.7;217.988
10393;1972;4;272.114;264.151;249.046;238.044;224.006;218.985;219.185;220.398;218.217
10393;1972;5;277.242;267.71;251.814;239.767;224.741;218.138;217.263;219.524;218.528
10393;1972;6;280.205;271.77;256.689;245.138;230.106;222.192;217.875;219.614;220.554
10393;1972;7;284.073;275.52;260.076;248.091;232.598;223.852;219.654;221.904;219.493
10393;1972;8;281.871;273.973;258.923;247.348;231.831;223.268;220.032;221.307;220.48
10393;1972;9;277.1;268.704;252.721;240.618;227.037;221.582;220.459;220.53;219.609
10393;1972;10;275.502;269;253.966;242.248;227.905;220.488;215.591;215.563;214.889
